"idade","frequencia","tempo_treino","gasto_mensal","tempo_plano"
31,1.6,59,162,8
34,3,39,145,19
32,2,45,129,12
21,2.6,65,106,13
23,3.4,57,171,18
21,1.5,63,129,27
32,0.8,45,136,10
28,2.9,46,145,9
18,3.1,51,191,28
18,2.4,52,145,5
25,2.4,64,164,11
44,2.4,51,176,12
37,2.2,42,118,12
30,2.1,38,169,23
25,1.9,34,115,6
26,2.6,38,115,26
43,2.3,47,146,15
26,2.3,39,93,18
32,3.2,51,182,12
41,1.2,48,159,18
26,2.8,73,225,19
31,3.3,39,106,10
24,4,59,158,17
40,2.2,38,183,14
36,2.2,56,122,16
27,1.5,52,197,16
40,3.6,49,129,4
31,2.7,40,139,15
29,3.1,45,87,1
34,0.5,62,170,10
30,3,62,161,11
26,1.5,43,150,7
27,2.2,42,147,11
30,1.8,26,149,17
30,3.7,32,143,10
36,2.7,42,95,18
18,3.4,49,137,3
44,2.4,46,149,17
24,1.6,42,142,21
36,3,37,178,21
33,1.4,26,125,15
30,1.9,55,144,9
23,2.2,40,113,16
34,3,44,153,7
25,1.8,65,141,2
24,2.5,38,164,16
31,1.2,57,147,15
30,2.7,40,160,8
33,4.3,47,135,26
25,3.8,53,144,7
27,4,54,129,17
36,4.1,47,130,14
32,2.3,58,164,12
21,3,24,163,11
28,2.2,39,153,15
24,4.8,35,123,3
27,1.3,41,156,18
36,4,47,113,7
35,2.3,43,173,10
56,2.2,43,82,6
23,2.2,53,174,11
25,3.1,45,182,22
37,2.8,35,116,6
31,1.1,43,190,8
26,2.8,35,172,12
35,3.3,48,171,11
40,2.8,44,134,22
29,4.2,39,128,8
31,4.3,42,179,23
30,2.3,47,119,22
20,2.8,34,197,21
25,1.5,47,151,14
31,2.6,24,219,16
28,3.8,46,143,13
19,2.6,41,147,4
38,3.9,50,173,11
18,3.8,40,178,15
24,1.9,42,140,12
31,3.2,19,160,17
33,2.6,43,172,8
46,2.2,38,103,4
26,1.9,50,162,1
22,2.3,69,140,10
34,2.8,35,140,13
26,3.8,54,139,15
35,4,30,167,23
36,2.2,53,148,1
25,2.7,38,154,6
23,3.5,44,142,23
34,3.1,39,178,13
29,3.6,46,112,10
27,2.3,59,158,16
29,3,38,151,11
26,3.6,36,144,9
18,3.5,25,195,25
18,2.1,42,128,14
35,1.7,59,155,10
26,2.6,40,135,12
18,2.8,61,170,16
30,3.4,43,196,13
24,3.8,50,177,17
19,2.6,43,141,19
19,0.8,59,162,11
29,2.7,36,184,9
26,4.5,51,145,14
33,0.8,57,155,12
34,4,54,125,6
26,2.3,41,118,31
31,2.9,56,160,15
18,3,42,165,26
25,2.3,57,93,19
40,2.2,38,140,17
21,3.7,42,92,23
25,2.6,56,156,11
24,3.3,42,116,13
27,3.4,52,162,9
29,4.1,49,209,22
30,2.5,29,153,13
22,3.9,39,171,17
28,4,54,117,18
25,3.1,38,176,11
36,4.2,45,85,14
24,3.5,47,150,14
28,4,46,195,25
33,2.5,42,156,13
21,1.2,49,142,20
18,2.7,38,102,11
32,3.1,38,162,18
33,3.7,50,116,11
19,2.5,44,138,10
26,3.7,55,145,12
32,3,35,122,21
28,1.7,45,97,13
31,0.9,49,68,1
30,1.8,22,116,10
21,1.2,49,98,5
24,1,23,116,1
29,2.5,41,125,6
21,1.6,49,139,9
23,1.4,36,99,1
25,1.3,37,108,5
23,3,50,115,7
20,1.6,33,60,10
29,2,20,135,8
24,1.4,36,94,11
23,2.5,15,119,9
29,1.8,41,64,9
20,1.5,33,94,7
21,2.4,23,129,10
18,0.8,36,76,5
27,0.9,33,126,7
29,1.6,25,122,10
20,2,50,127,9
30,1,28,113,8
21,1,39,152,13
23,0.8,36,132,5
25,0.8,20,60,6
20,0.7,29,133,4
30,0.8,45,106,3
18,2.6,48,140,6
29,1.2,36,112,1
28,2,30,127,5
27,0.5,15,96,7
21,1.4,52,113,2
22,1.9,40,154,14
19,1.7,19,108,6
30,2.5,32,116,5
21,1.6,24,89,9
26,0.6,18,79,2
36,1.3,36,102,10
24,0.8,18,67,7
26,1.5,41,75,1
29,0.5,44,102,11
26,1.6,43,126,6
34,2.1,25,86,1
32,1.4,27,95,5
29,1.3,39,60,3
33,0.6,30,100,6
31,1.6,32,90,1
27,1.4,35,112,4
18,1.1,27,83,1
27,1.6,44,117,5
34,0.5,35,78,9
26,1.3,37,107,8
28,1.5,28,109,3
36,2.5,23,96,6
31,1.7,39,149,6
31,1.3,41,121,3
19,0.6,26,113,9
21,0.8,25,103,9
28,2.6,29,86,11
36,0.5,38,79,9
28,1.9,26,115,5
26,0.8,46,110,14
19,0.5,33,125,5
42,2.5,38,114,9
25,1.3,22,116,2
29,1,29,110,1
24,1.6,34,97,10
34,1.4,39,148,5
26,1.4,34,100,5
25,1.1,41,113,1
27,2,32,108,7
26,1.9,30,98,1
18,1.8,31,114,2
23,3.2,19,108,6
26,2,15,109,6
22,2.3,18,60,1
26,1.1,34,93,1
20,1.5,29,124,4
22,1.3,43,71,12
31,2.5,29,108,8
29,0.5,54,143,15
31,1.9,24,112,5
24,1.1,25,119,11
21,1.6,25,105,8
24,2.4,27,145,7
26,1.2,40,114,3
37,1.9,28,119,3
23,0.6,49,108,4
23,0.9,34,133,1
32,1.1,50,93,9
26,1.2,29,96,7
26,2.1,41,119,1
21,2.7,33,60,5
32,1.5,24,153,3
22,1.7,30,101,8
19,1.5,47,108,9
27,2.9,29,80,4
22,0.5,34,93,5
24,1.3,34,112,3
23,2.4,38,104,7
32,1.7,32,118,1
20,0.5,56,122,3
22,1,23,83,8
28,1.3,50,64,5
30,1.2,42,99,4
25,2.3,28,96,11
26,0.5,29,111,1
33,1.8,21,99,3
26,0.7,45,114,1
24,1.4,38,102,3
27,1.9,40,107,8
30,2.3,37,114,8
30,1.7,37,123,6
32,2.3,44,87,9
30,0.5,30,106,3
35,1.9,41,96,6
30,1,30,71,1
35,0.9,15,141,14
36,0.5,43,150,5
34,1.5,43,112,11
23,1.2,27,76,1
37,1.7,49,138,3
22,0.9,30,120,3
20,2.7,24,64,8
30,1.4,18,101,6
27,0.6,33,137,7
30,1.7,32,111,3
34,1.3,40,151,5
21,2,37,65,1
19,0.6,40,114,5
25,1.1,37,113,5
22,1.6,37,121,10
22,0.6,31,94,15
31,1.6,34,152,11
23,1,26,74,15
24,0.5,27,60,4
28,1,34,75,6
23,1.8,41,110,8
28,1.9,22,109,5
25,1.5,39,73,1
21,1,40,119,11
40,3.6,46,131,34
24,4.4,54,142,28
33,5.2,64,129,20
31,5.8,61,105,16
45,3.8,56,137,31
46,5.4,55,129,18
39,4.4,56,108,29
50,4.5,52,141,28
41,4.3,44,174,22
38,5.1,62,95,24
46,3.8,38,119,18
45,4.5,68,114,11
56,5.3,72,150,28
39,3,59,143,28
44,3.8,68,127,36
41,4.6,76,113,28
55,6,62,102,32
31,3.3,54,99,24
29,4.7,63,167,26
45,4.6,65,87,31
39,5.7,76,125,19
35,5.1,52,98,22
36,5.6,77,116,25
43,6.2,67,108,30
50,5.6,75,118,17
41,4.5,52,98,24
29,4.3,69,152,22
31,4.9,48,81,14
47,4.4,53,139,23
40,3.5,58,139,39
45,4.8,56,89,11
34,3.2,52,101,27
38,5.8,53,105,22
47,2.8,60,133,26
50,4.2,72,121,30
31,2.6,63,166,12
45,5.1,67,118,36
26,3.6,55,117,31
44,5.8,38,109,24
42,3.2,74,122,8
46,4.3,45,109,24
50,5,70,113,26
46,5.9,40,126,16
42,3.5,55,127,27
45,5.8,44,104,25
26,5.3,39,155,24
39,4,41,97,24
47,5.1,56,122,16
48,5.6,61,101,19
39,4.8,78,135,21
39,4.3,37,138,41
40,4.5,65,104,39
51,5.3,83,102,31
42,4.6,47,122,11
55,5.8,41,116,31
43,4.3,61,137,39
26,3.4,66,141,37
39,4.1,69,109,24
34,3.6,52,143,17
36,5.8,62,121,24
37,4,60,138,52
33,3.9,47,138,3
37,4.4,59,102,14
45,4.3,45,137,27
34,6.5,53,98,20
46,2.6,67,155,24
32,3.2,63,101,20
34,4.5,73,102,19
35,5.1,55,121,32
34,4.8,49,143,18
30,5,72,128,18
20,4.1,64,140,33
41,4.2,59,95,24
32,3,65,116,34
46,3,56,97,35
32,3.6,59,117,39
56,5.3,66,126,26
35,4.2,43,97,43
30,4.8,45,106,19
32,5.4,45,84,23
49,3.8,54,131,26
31,4.5,70,85,21
41,4.4,44,151,30
32,4.7,41,104,14
31,4.5,40,98,31
32,3.6,61,125,38
53,5.9,64,118,14
49,4.1,67,116,17
19,5.3,67,129,20
41,5.2,75,135,36
44,5.1,58,150,7
53,5.7,52,131,24
33,3.3,47,151,20
47,4.6,69,102,48
32,3.5,57,151,20
44,4.3,65,145,23
45,4.9,68,150,20
45,3.4,61,125,31
47,5,60,100,32
45,4.8,42,134,40
39,6.1,79,131,17
41,5.4,74,140,14
62,4.9,56,139,30
51,4.4,43,102,24
51,4.9,68,145,40
36,4,63,139,21
31,4.7,39,114,36
44,6.6,58,115,21
32,6.5,72,128,37
27,5.4,42,125,36
