  ID C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C17 C18
 94 1 3 4 2 5 1 4 1 1 3 4 4 3 4 5 3 1 2
 95 4 4 2 2 2 4 4 2 2 4 5 1 4 4 4 1 1 4
 96 2 4 1 1 1 2 5 5 2 4 4 1 4 2 4 2 2 2
 97 1 5 1 1 1 3 5 4 5 4 5 1 3 4 1 3 1 3
 98 3 3 2 3 3 3 3 2 1 4 3 3 1 3 3 1 1 2
 99 4 3 2 2 2 1 2 2 1 4 4 2 4 3 4 2 3 2
100 4 5 1 1 1 5 1 1 1 5 5 1 4 4 4 2 2 3
101 3 4 2 2 2 . 2 2 2 4 4 2 3 5 5 1 2 5 
102 2 4 2 4 3 2 4 2 2 4 3 4 2 3 4 4 2 2
103 4 5 1 1 1 4 2 1 1 4 5 1 3 4 1 1 2 4
104 2 3 2 1 2 3 3 3 4 4 4 2 4 4 4 2 3 3
105 3 3 2 2 4 4 1 3 2 3 4 1 4 4 4 3 3 4
106 5 1 2 3 5 1 4 2 5 4 2 4 3 5 2 1 4 5
107 4 4 3 1 2 3 2 4 1 5 4 2 3 4 4 2 1 2
108 4 4 2 2 2 3 3 2 3 2 4 3 4 3 4 2 2 4
109 2 4 2 3 2 3 3 4 2 3 5 2 4 3 2 4 1 4
110 5 5 1 3 1 5 4 4 1 2 5 1 5 5 5 1 2 5
111 3 5 1 1 1 4 1 4 1 5 5 1 2 4 3 1 4 5
112 2 3 3 3 4 2 4 2 4 3 4 2 3 2 3 2 2 4
113 4 5 1 1 1 3 2 4 4 5 5 1 5 4 5 2 1 3
114 4 5 1 1 1 4 2 2 2 5 5 1 5 5 5 1 1 4
115 4 5 1 1 1 4 1 3 1 4 4 1 2 5 1 2 1 5
116 4 5 1 2 2 4 1 3 4 5 5 1 4 5 4 2 1 4
117 4 4 4 2 1 4 5 3 4 4 4 1 3 5 4 2 5 5
118 5 5 2 2 2 3 3 1 2 4 4 2 3 3 5 4 2 3
119 4 5 1 1 1 5 1 1 1 5 5 1 5 5 5 4 1 1
120 4 5 2 2 1 4 1 5 2 4 5 1 4 3 2 3 1 5
121 1 4 1 1 1 5 1 1 5 5 5 1 3 5 3 4 2 5
122 4 4 1 1 1 4 1 2 2 4 4 1 3 3 3 2 2 3
123 4 4 2 2 1 4 1 2 2 5 5 1 4 4 5 1 1 2
124 4 4 1 1 2 2 4 3 2 4 4 2 4 4 4 2 2 3
125 1 4 2 1 1 3 3 2 4 4 4 1 3 4 3 2 1 3
126 3 4 2 2 3 2 3 2 4 4 5 1 3 5 4 2 3 4
127 2 4 2 1 4 4 5 4 2 4 4 4 2 2 4 4 1 2
128 1 2 3 4 4 3 3 4 1 3 3 4 3 3 3 3 5 4
129 1 3 2 3 3 . 2 5 . . . 1 4 . 2 . . .
130 1 1 2 2 3 2 5 5 4 1 1 1 1 2 3 5 3 3
131 1 5 2 1 5 3 1 5 2 . . 5 2 1 5 2 2 1
132 3 4 4 2 1 4 2 2 1 4 4 1 3 4 3 1 1 5
133 4 5 1 1 1 4 1 2 1 5 5 1 4 3 4 1 1 5
134 4 3 4 2 2 5 4 2 2 4 4 2 2 3 4 2 2 5
135 4 5 1 1 1 5 3 1 1 5 5 1 5 5 . 1 1 4
136 4 5 2 2 1 3 2 2 1 5 5 2 4 4 5 2 1 3
137 3 5 1 1 1 4 4 1 1 4 4 1 5 5 4 1 2 4
138 1 3 3 4 2 3 2 3 4 4 4 1 1 4 4 3 3 2
139 4 4 5 1 2 1 2 2 4 4 5 1 4 4 4 2 2 1
140 5 4 1 2 1 4 5 5 1 5 5 1 3 2 5 5 1 2
141 4 5 1 1 1 4 1 1 1 5 5 1 4 3 . 1 1 2
142 3 4 1 1 2 2 2 3 1 4 4 1 2 4 4 1 1 4
143 4 4 1 1 1 4 2 3 2 4 4 1 5 5 4 1 1 4
144 4 3 1 2 2 3 3 4 2 5 4 1 4 4 4 2 3 2
145 3 4 2 1 2 3 3 3 3 4 4 2 4 5 4 3 4 4
146 4 5 1 1 1 4 1 1 1 5 5 1 3 5 4 1 1 1
147 3 5 3 3 1 1 3 3 5 3 4 1 3 4 3 4 1 3
148 3 3 1 1 1 3 1 2 2 2 3 2 3 3 2 1 1 2
149 1 1 5 3 3 4 3 2 4 2 1 5 3 4 2 3 4 2
150 4 4 1 1 1 4 5 2 2 5 4 2 4 4 4 2 2 3
151 2 4 1 1 2 1 2 1 1 5 4 2 2 4 5 2 1 4
152 4 4 1 1 1 3 1 2 3 4 5 1 3 5 4 1 1 4
153 2 4 1 1 1 4 1 3 2 2 4 1 4 4 4 1 1 3
154 4 4 2 1 1 2 2 2 4 4 3 2 3 4 4 4 3 3
155 5 5 1 1 1 2 2 1 2 3 5 1 3 2 3 1 1 1
156 1 5 1 5 2 4 3 2 2 4 4 2 4 3 4 4 2 4
157 1 2 2 5 3 5 5 5 2 4 3 3 1 1 3 3 4 1
158 4 4 2 2 2 4 2 2 1 4 4 2 3 4 4 2 2 4
159 3 2 1 4 5 1 2 3 . 5 4 5 3 2 1 2 3 4
160 1 2 2 5 2 2 3 5 4 2 2 4 1 1 1 4 4 4
161 4 3 2 2 1 3 3 2 2 5 5 3 2 3 4 3 1 3
162 4 4 1 1 1 4 2 1 2 4 5 1 5 4 5 1 1 5
163 4 5 1 1 1 4 1 2 2 5 5 1 4 4 5 2 1 2
164 4 2 3 4 4 2 4 4 4 3 4 3 3 2 2 4 3 4
165 4 5 1 1 1 4 1 1 1 5 5 1 5 4 5 2 1 3
166 3 4 2 2 2 2 4 2 3 4 4 5 4 4 2 3 2 1
167 4 4 1 1 1 4 2 2 2 4 5 1 1 4 3 1 1 2
168 4 4 1 2 2 4 2 3 2 5 5 1 5 4 4 2 1 3
169 4 4 2 2 2 4 2 3 4 5 5 1 4 5 4 2 1 4
170 4 5 1 2 2 3 2 2 1 4 5 1 3 4 3 2 1 4
171 4 4 4 3 2 5 2 5 5 4 4 2 2 3 1 3 3 4
172 4 4 1 1 1 3 2 3 2 4 5 1 3 4 4 2 2 4
173 4 4 2 4 2 3 1 2 2 4 4 1 3 4 3 2 1 4
174 5 5 1 1 1 5 1 2 2 5 5 1 4 5 5 1 1 4
175 3 4 2 4 4 3 4 2 2 4 4 3 2 2 3 2 3 3
176 4 4 1 1 1 4 1 1 1 4 4 1 4 4 4 1 1 4
177 3 4 1 2 2 5 4 4 5 4 5 2 5 5 4 2 2 4
178 5 5 1 1 1 1 1 1 1 5 5 1 5 5 5 5 1 3
179 1 2 3 2 2 1 5 5 4 3 3 5 3 1 3 3 5 1
180 2 4 4 2 1 2 4 1 5 4 3 1 2 3 4 1 1 5
181 4 4 1 3 2 5 1 1 2 5 5 1 4 4 5 5 2 5
182 5 5 2 2 1 4 1 1 2 4 5 5 2 4 3 2 1 3
183 4 4 2 2 1 4 1 1 4 4 5 1 4 5 3 2 3 2
184 5 5 1 5 2 5 4 2 1 5 5 1 5 5 4 1 1 4
185 3 4 2 2 1 3 1 2 1 4 4 1 3 3 3 2 3 2
186 2 5 2 3 1 3 2 1 2 5 4 2 3 4 3 2 1 4
187 4 5 1 1 1 2 1 1 1 5 5 1 4 5 1 1 1 2
188 4 4 3 1 1 4 1 2 1 5 5 1 3 3 2 1 1 1
189 3 4 1 1 1 4 1 2 1 5 5 1 3 4 3 2 1 4
190 3 4 2 4 4 3 4 4 2 4 5 4 4 4 3 2 3 2
191 4 4 2 2 1 1 1 4 2 5 4 2 4 4 1 1 4 4
192 4 2 2 4 2 3 5 4 2 4 5 2 3 4 4 2 4 4
193 3 5 2 1 1 4 2 1 3 5 5 2 4 4 4 4 4 4
194 1 4 3 4 4 1 4 4 4 2 4 4 1 4 4 5 5 4
195 4 5 4 2 3 2 4 5 2 2 5 1 1 3 3 1 1 5
196 4 4 2 2 2 3 1 2 2 4 2 2 2 5 4 2 1 5
197 5 5 1 1 1 4 2 2 2 4 5 1 4 5 5 1 2 5
198 1 3 1 1 1 5 2 2 1 3 5 1 3 5 5 2 3 3
199 5 5 4 3 3 4 4 1 5 2 5 1 5 4 4 1 1 4
200 2 4 1 4 2 1 2 5 2 5 4 1 2 4 3 2 2 3
201 5 5 1 1 1 5 1 3 1 5 5 1 2 4 4 2 1 3
